  0%|          | 0/28158 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
/home/xinyuzh/anaconda3/envs/meditron/lib/python3.10/site-packages/torch/autograd/graph.py:825: UserWarning: cuDNN SDPA backward got grad_output.strides() != output.strides(), attempting to materialize a grad_output with matching strides... (Triggered internally at ../aten/src/ATen/native/cudnn/MHA.cpp:674.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
                                                      
{'loss': 1.5125, 'grad_norm': 1.18394136428833, 'learning_rate': 1.775568181818182e-07, 'epoch': 0.0}
{'loss': 1.464, 'grad_norm': 1.481808066368103, 'learning_rate': 3.551136363636364e-07, 'epoch': 0.0}
{'loss': 1.4458, 'grad_norm': 1.8416152000427246, 'learning_rate': 5.326704545454546e-07, 'epoch': 0.0}
{'loss': 1.5285, 'grad_norm': 1.2048693895339966, 'learning_rate': 7.102272727272728e-07, 'epoch': 0.0}
{'loss': 1.4603, 'grad_norm': 1.4463597536087036, 'learning_rate': 8.87784090909091e-07, 'epoch': 0.0}
{'loss': 1.4624, 'grad_norm': 1.14619779586792, 'learning_rate': 1.0653409090909091e-06, 'epoch': 0.0}
{'loss': 1.473, 'grad_norm': 1.378806471824646, 'learning_rate': 1.2428977272727274e-06, 'epoch': 0.0}
{'loss': 1.3494, 'grad_norm': 1.678350567817688, 'learning_rate': 1.4204545454545456e-06, 'epoch': 0.01}
{'loss': 1.4698, 'grad_norm': 1.658908724784851, 'learning_rate': 1.5980113636363636e-06, 'epoch': 0.01}
{'loss': 1.5598, 'grad_norm': 1.862199306488037, 'learning_rate': 1.775568181818182e-06, 'epoch': 0.01}
{'loss': 1.4405, 'grad_norm': 1.3463263511657715, 'learning_rate': 1.953125e-06, 'epoch': 0.01}
{'loss': 1.5508, 'grad_norm': 1.680711030960083, 'learning_rate': 2.1306818181818183e-06, 'epoch': 0.01}
{'loss': 1.4259, 'grad_norm': 1.584359884262085, 'learning_rate': 2.3082386363636365e-06, 'epoch': 0.01}
{'loss': 1.4168, 'grad_norm': 1.3365414142608643, 'learning_rate': 2.4857954545454547e-06, 'epoch': 0.01}
{'loss': 1.4645, 'grad_norm': 1.7030854225158691, 'learning_rate': 2.663352272727273e-06, 'epoch': 0.01}
{'loss': 1.504, 'grad_norm': 1.8159337043762207, 'learning_rate': 2.840909090909091e-06, 'epoch': 0.01}
{'loss': 1.4816, 'grad_norm': 1.866886854171753, 'learning_rate': 3.0184659090909094e-06, 'epoch': 0.01}
{'loss': 1.4628, 'grad_norm': 1.6500660181045532, 'learning_rate': 3.196022727272727e-06, 'epoch': 0.01}
{'loss': 1.4049, 'grad_norm': 1.513886570930481, 'learning_rate': 3.373579545454546e-06, 'epoch': 0.01}
{'loss': 1.3018, 'grad_norm': 1.4134336709976196, 'learning_rate': 3.551136363636364e-06, 'epoch': 0.01}
{'loss': 1.3662, 'grad_norm': 1.9522349834442139, 'learning_rate': 3.728693181818182e-06, 'epoch': 0.01}
{'loss': 1.3669, 'grad_norm': 1.4631893634796143, 'learning_rate': 3.90625e-06, 'epoch': 0.02}
{'loss': 1.3991, 'grad_norm': 2.524230480194092, 'learning_rate': 4.083806818181819e-06, 'epoch': 0.02}
{'loss': 1.3462, 'grad_norm': 1.8961971998214722, 'learning_rate': 4.2613636363636365e-06, 'epoch': 0.02}
{'loss': 1.2715, 'grad_norm': 1.8831995725631714, 'learning_rate': 4.438920454545454e-06, 'epoch': 0.02}
{'loss': 1.2713, 'grad_norm': 2.0845348834991455, 'learning_rate': 4.616477272727273e-06, 'epoch': 0.02}
{'loss': 1.236, 'grad_norm': 1.8505446910858154, 'learning_rate': 4.794034090909092e-06, 'epoch': 0.02}
{'loss': 1.1774, 'grad_norm': 1.5920506715774536, 'learning_rate': 4.9715909090909094e-06, 'epoch': 0.02}
{'loss': 1.1568, 'grad_norm': 1.5179637670516968, 'learning_rate': 5.149147727272727e-06, 'epoch': 0.02}
{'loss': 1.1604, 'grad_norm': 1.3835011720657349, 'learning_rate': 5.326704545454546e-06, 'epoch': 0.02}
{'loss': 1.1156, 'grad_norm': 1.3856985569000244, 'learning_rate': 5.5042613636363645e-06, 'epoch': 0.02}
{'loss': 1.1942, 'grad_norm': 1.4021143913269043, 'learning_rate': 5.681818181818182e-06, 'epoch': 0.02}
{'loss': 1.0687, 'grad_norm': 2.047551393508911, 'learning_rate': 5.859375e-06, 'epoch': 0.02}
{'loss': 1.092, 'grad_norm': 1.6614456176757812, 'learning_rate': 6.036931818181819e-06, 'epoch': 0.02}
{'loss': 1.0546, 'grad_norm': 1.4081428050994873, 'learning_rate': 6.2144886363636366e-06, 'epoch': 0.02}
{'loss': 1.0326, 'grad_norm': 1.333048939704895, 'learning_rate': 6.392045454545454e-06, 'epoch': 0.03}
{'loss': 0.992, 'grad_norm': 1.0565049648284912, 'learning_rate': 6.569602272727272e-06, 'epoch': 0.03}
{'loss': 1.0222, 'grad_norm': 1.4478682279586792, 'learning_rate': 6.747159090909092e-06, 'epoch': 0.03}
{'loss': 0.9993, 'grad_norm': 1.1264708042144775, 'learning_rate': 6.9247159090909095e-06, 'epoch': 0.03}
{'loss': 0.9941, 'grad_norm': 1.2380918264389038, 'learning_rate': 7.102272727272728e-06, 'epoch': 0.03}
{'loss': 0.9761, 'grad_norm': 1.252089023590088, 'learning_rate': 7.279829545454546e-06, 'epoch': 0.03}
{'loss': 0.9321, 'grad_norm': 1.2029132843017578, 'learning_rate': 7.457386363636364e-06, 'epoch': 0.03}
{'loss': 0.9085, 'grad_norm': 1.6087357997894287, 'learning_rate': 7.634943181818183e-06, 'epoch': 0.03}
{'loss': 0.9571, 'grad_norm': 1.7437939643859863, 'learning_rate': 7.8125e-06, 'epoch': 0.03}
{'loss': 0.9264, 'grad_norm': 1.0849549770355225, 'learning_rate': 7.990056818181819e-06, 'epoch': 0.03}
{'loss': 0.9449, 'grad_norm': 1.1889207363128662, 'learning_rate': 8.167613636363637e-06, 'epoch': 0.03}
{'loss': 0.8746, 'grad_norm': 1.2582883834838867, 'learning_rate': 8.345170454545454e-06, 'epoch': 0.03}
{'loss': 0.8452, 'grad_norm': 1.2938361167907715, 'learning_rate': 8.522727272727273e-06, 'epoch': 0.03}
{'loss': 0.8257, 'grad_norm': 1.2349823713302612, 'learning_rate': 8.700284090909092e-06, 'epoch': 0.03}
{'loss': 0.8154, 'grad_norm': 1.4769729375839233, 'learning_rate': 8.877840909090909e-06, 'epoch': 0.04}
{'loss': 0.8013, 'grad_norm': 1.6675705909729004, 'learning_rate': 9.055397727272729e-06, 'epoch': 0.04}
{'loss': 0.8432, 'grad_norm': 1.3548839092254639, 'learning_rate': 9.232954545454546e-06, 'epoch': 0.04}
{'loss': 0.8416, 'grad_norm': 1.3327847719192505, 'learning_rate': 9.410511363636363e-06, 'epoch': 0.04}
{'loss': 0.8635, 'grad_norm': 1.4669190645217896, 'learning_rate': 9.588068181818183e-06, 'epoch': 0.04}
{'loss': 0.8331, 'grad_norm': 1.9069184064865112, 'learning_rate': 9.765625e-06, 'epoch': 0.04}
{'loss': 0.7893, 'grad_norm': 1.4330906867980957, 'learning_rate': 9.943181818181819e-06, 'epoch': 0.04}
{'loss': 0.8613, 'grad_norm': 1.2905076742172241, 'learning_rate': 1.0120738636363637e-05, 'epoch': 0.04}
{'loss': 0.8211, 'grad_norm': 1.4762077331542969, 'learning_rate': 1.0298295454545454e-05, 'epoch': 0.04}
{'loss': 0.7987, 'grad_norm': 1.9718657732009888, 'learning_rate': 1.0475852272727273e-05, 'epoch': 0.04}
{'loss': 0.758, 'grad_norm': 1.6403652429580688, 'learning_rate': 1.0653409090909092e-05, 'epoch': 0.04}
{'loss': 0.7922, 'grad_norm': 1.6432883739471436, 'learning_rate': 1.0830965909090909e-05, 'epoch': 0.04}
{'loss': 0.8224, 'grad_norm': 1.6015433073043823, 'learning_rate': 1.1008522727272729e-05, 'epoch': 0.04}
{'loss': 0.7477, 'grad_norm': 1.6788086891174316, 'learning_rate': 1.1186079545454546e-05, 'epoch': 0.04}
{'loss': 0.7451, 'grad_norm': 1.3618096113204956, 'learning_rate': 1.1363636363636365e-05, 'epoch': 0.05}
{'loss': 0.8107, 'grad_norm': 1.4055840969085693, 'learning_rate': 1.1541193181818183e-05, 'epoch': 0.05}
{'loss': 0.7221, 'grad_norm': 1.7641372680664062, 'learning_rate': 1.171875e-05, 'epoch': 0.05}
{'loss': 0.8474, 'grad_norm': 1.3658653497695923, 'learning_rate': 1.1896306818181819e-05, 'epoch': 0.05}
{'loss': 0.7745, 'grad_norm': 1.3947945833206177, 'learning_rate': 1.2073863636363638e-05, 'epoch': 0.05}
{'loss': 0.7431, 'grad_norm': 1.692307949066162, 'learning_rate': 1.2251420454545454e-05, 'epoch': 0.05}
{'loss': 0.6977, 'grad_norm': 1.7781413793563843, 'learning_rate': 1.2428977272727273e-05, 'epoch': 0.05}
{'loss': 0.7381, 'grad_norm': 1.697790503501892, 'learning_rate': 1.2606534090909092e-05, 'epoch': 0.05}
{'loss': 0.8102, 'grad_norm': 2.078514575958252, 'learning_rate': 1.2784090909090909e-05, 'epoch': 0.05}
{'loss': 0.7621, 'grad_norm': 1.5990171432495117, 'learning_rate': 1.2961647727272727e-05, 'epoch': 0.05}
{'loss': 0.7255, 'grad_norm': 1.8769124746322632, 'learning_rate': 1.3139204545454544e-05, 'epoch': 0.05}
{'loss': 0.7806, 'grad_norm': 1.7270652055740356, 'learning_rate': 1.3316761363636365e-05, 'epoch': 0.05}
{'loss': 0.7333, 'grad_norm': 1.6072664260864258, 'learning_rate': 1.3494318181818183e-05, 'epoch': 0.05}
{'loss': 0.7072, 'grad_norm': 1.6601637601852417, 'learning_rate': 1.3671875e-05, 'epoch': 0.05}
{'loss': 0.7264, 'grad_norm': 1.5981509685516357, 'learning_rate': 1.3849431818181819e-05, 'epoch': 0.06}
{'loss': 0.776, 'grad_norm': 1.8319087028503418, 'learning_rate': 1.4026988636363636e-05, 'epoch': 0.06}
{'loss': 0.831, 'grad_norm': 1.9444785118103027, 'learning_rate': 1.4204545454545456e-05, 'epoch': 0.06}
{'loss': 0.7426, 'grad_norm': 1.6292763948440552, 'learning_rate': 1.4382102272727275e-05, 'epoch': 0.06}
{'loss': 0.7079, 'grad_norm': 2.05057954788208, 'learning_rate': 1.4559659090909092e-05, 'epoch': 0.06}
{'loss': 0.7777, 'grad_norm': 1.9739086627960205, 'learning_rate': 1.4737215909090909e-05, 'epoch': 0.06}
{'loss': 0.7669, 'grad_norm': 1.9503289461135864, 'learning_rate': 1.4914772727272727e-05, 'epoch': 0.06}
{'loss': 0.7846, 'grad_norm': 2.197347402572632, 'learning_rate': 1.5092329545454544e-05, 'epoch': 0.06}
{'loss': 0.7361, 'grad_norm': 1.7692879438400269, 'learning_rate': 1.5269886363636366e-05, 'epoch': 0.06}
{'loss': 0.7547, 'grad_norm': 1.7503143548965454, 'learning_rate': 1.544744318181818e-05, 'epoch': 0.06}
{'loss': 0.7377, 'grad_norm': 1.7395024299621582, 'learning_rate': 1.5625e-05, 'epoch': 0.06}
{'loss': 0.6959, 'grad_norm': 1.988598108291626, 'learning_rate': 1.580255681818182e-05, 'epoch': 0.06}
{'loss': 0.7487, 'grad_norm': 1.9484871625900269, 'learning_rate': 1.5980113636363638e-05, 'epoch': 0.06}
{'loss': 0.7346, 'grad_norm': 2.5829830169677734, 'learning_rate': 1.6157670454545456e-05, 'epoch': 0.06}
{'loss': 0.818, 'grad_norm': 1.6403162479400635, 'learning_rate': 1.6335227272727275e-05, 'epoch': 0.07}
{'loss': 0.7556, 'grad_norm': 1.9013034105300903, 'learning_rate': 1.6512784090909094e-05, 'epoch': 0.07}
{'loss': 0.7557, 'grad_norm': 1.831085205078125, 'learning_rate': 1.669034090909091e-05, 'epoch': 0.07}
{'loss': 0.7299, 'grad_norm': 2.077378511428833, 'learning_rate': 1.6867897727272727e-05, 'epoch': 0.07}
{'loss': 0.7982, 'grad_norm': 1.674737811088562, 'learning_rate': 1.7045454545454546e-05, 'epoch': 0.07}
{'loss': 0.7582, 'grad_norm': 2.1367833614349365, 'learning_rate': 1.7223011363636365e-05, 'epoch': 0.07}
{'loss': 0.7012, 'grad_norm': 1.9198687076568604, 'learning_rate': 1.7400568181818183e-05, 'epoch': 0.07}
