                                                    
{'loss': 46.4836, 'grad_norm': 14.645258903503418, 'learning_rate': 4.366812227074236e-07, 'epoch': 0.01}
{'loss': 46.5446, 'grad_norm': 13.464990615844727, 'learning_rate': 8.733624454148472e-07, 'epoch': 0.02}
{'loss': 46.4179, 'grad_norm': 13.18958568572998, 'learning_rate': 1.3100436681222709e-06, 'epoch': 0.03}
{'loss': 46.3569, 'grad_norm': 14.737610816955566, 'learning_rate': 1.7467248908296944e-06, 'epoch': 0.03}
{'loss': 46.4754, 'grad_norm': 13.427830696105957, 'learning_rate': 2.183406113537118e-06, 'epoch': 0.04}
{'loss': 46.2813, 'grad_norm': 16.06900405883789, 'learning_rate': 2.6200873362445417e-06, 'epoch': 0.05}
{'loss': 45.9687, 'grad_norm': 15.345128059387207, 'learning_rate': 3.0567685589519653e-06, 'epoch': 0.06}
{'loss': 45.9279, 'grad_norm': 15.238687515258789, 'learning_rate': 3.493449781659389e-06, 'epoch': 0.07}
{'loss': 45.9603, 'grad_norm': 15.791360855102539, 'learning_rate': 3.930131004366812e-06, 'epoch': 0.08}
{'loss': 45.735, 'grad_norm': 13.84798526763916, 'learning_rate': 4.366812227074236e-06, 'epoch': 0.09}
{'loss': 45.5001, 'grad_norm': 17.027114868164062, 'learning_rate': 4.80349344978166e-06, 'epoch': 0.1}
{'loss': 45.2962, 'grad_norm': 16.928497314453125, 'learning_rate': 5.2401746724890834e-06, 'epoch': 0.1}
{'loss': 45.3205, 'grad_norm': 16.74951171875, 'learning_rate': 5.676855895196507e-06, 'epoch': 0.11}
{'loss': 44.9027, 'grad_norm': 16.57439422607422, 'learning_rate': 6.1135371179039305e-06, 'epoch': 0.12}
{'loss': 44.494, 'grad_norm': 18.945140838623047, 'learning_rate': 6.550218340611354e-06, 'epoch': 0.13}
{'loss': 44.1485, 'grad_norm': 17.112953186035156, 'learning_rate': 6.986899563318778e-06, 'epoch': 0.14}
{'loss': 43.6748, 'grad_norm': 19.58109474182129, 'learning_rate': 7.423580786026201e-06, 'epoch': 0.15}
{'loss': 43.4034, 'grad_norm': 20.24276351928711, 'learning_rate': 7.860262008733624e-06, 'epoch': 0.16}
{'loss': 43.053, 'grad_norm': 21.134855270385742, 'learning_rate': 8.296943231441049e-06, 'epoch': 0.17}
